time,open,high,low,close,EMA,bullish,Volume,Volume MA
2019-02-03T07:00:00Z,8658,8765,8617,8765,7306.3312065580485,0,17298,45120.6
2019-02-04T07:00:00Z,8765,8765,8589,8727,7320.467214452993,0,39136,45391.95
2019-02-05T07:00:00Z,8899,8919,8744,8770,7334.890426249481,0,39718,44609.15
2019-02-06T07:00:00Z,8840,8931,8830,8844,7349.90644190869,0,28866,44350.25
2019-02-07T07:00:00Z,8860,8864,8594,8594,7362.285482287708,0,610098,72373.75
2019-02-10T07:00:00Z,8949,9004,8913,9001,7378.591099379372,0,21533,72109.85
2019-02-11T07:00:00Z,9024,9177,8750,8972,7394.445914310921,0,30048,72334.3
2019-02-12T07:00:00Z,9076,9237,9049,9164,7412.05341765111,0,20985,72223.1
2019-02-13T07:00:00Z,9298,9473,9166,9205,7429.893682152094,0,66859,73812.7
2019-02-14T07:00:00Z,9350,9440,9254,9392,7449.417128100829,0,67209,75064.9
2019-02-17T07:00:00Z,9520,9695,9520,9630,7471.114470109776,0,30152,75050.35
2019-02-18T07:00:00Z,9682,9682,9601,9625,7492.546166924604,0,23251,75417.7
2019-02-19T07:00:00Z,9688,9688,9508,9554,7513.058145363166,0,43415,76558.25
2019-02-20T07:00:00Z,9554,9619,9499,9564,7533.465527001344,0,35213,77142.4
2019-02-21T07:00:00Z,9569,9569,9330,9446,7552.495720762524,0,135415,74344.85
2019-02-24T07:00:00Z,9802,9949,9802,9919,7576.043027023593,0,30867,74350.95
2019-02-25T07:00:00Z,9948,10230,9945,9984,7600.00279789898,0,84011,72947.75
2019-02-26T07:00:00Z,9984,10230,9984,10150,7625.375904387547,0,46068,73405.7
2019-02-27T07:00:00Z,9957,10190,9820,10000,7649.004004841402,0,61662,75062.05
2019-02-28T07:00:00Z,10250,10700,10210,10290,7675.282571957408,0,89986,76089.5
2019-03-03T07:00:00Z,10290,10610,10020,10180,7700.205133430469,0,41225,77285.85
2019-03-04T07:00:00Z,10180,10390,10050,10090,7723.9841868291705,0,36257,77141.9
2019-03-05T07:00:00Z,9994,9994,9763,9850,7745.138573029875,0,39114,77111.7
2019-03-06T07:00:00Z,9869,9920,9684,9684,7764.430726532066,0,66050,78970.9
2019-03-07T07:00:00Z,9470,9646,9433,9601,7782.7050476611,0,635540,80243
2019-03-10T07:00:00Z,10180,10320,10180,10300,7807.752758629646,0,34418,80887.25
2019-03-11T07:00:00Z,10270,10400,10160,10250,7832.05372620547,0,23162,80542.95
2019-03-12T07:00:00Z,10270,10280,10080,10210,7855.71488315865,0,38462,81416.8
2019-03-13T07:00:00Z,10210,10410,10190,10410,7881.130655465529,0,44457,80296.7
2019-03-14T07:00:00Z,10300,10340,10100,10320,7905.398012127564,0,41740,79023.25
2019-03-17T07:00:00Z,10350,10350,10210,10300,7929.224897579031,0,13389,78185.1
2019-03-18T07:00:00Z,10210,10410,10150,10300,7952.81469959317,0,19040,77974.55
2019-03-19T07:00:00Z,10300,10430,10180,10280,7975.9707722340345,0,30225,77315.05
2019-03-20T07:00:00Z,10360,10550,10350,10400,8000.090466042651,0,54876,78298.2
