Date,Open,High,Low,Close,Adj Close,Volume
2016-06-30,207.210007,209.539993,206.559998,209.479996,191.542572,165021900
2016-07-01,209.479996,210.490005,209.289993,209.919998,191.944946,106055300
2016-07-05,208.949997,209.080002,207.710007,208.410004,190.564194,109803700
2016-07-06,207.830002,209.800003,207.059998,209.660004,191.707199,96021500
2016-07-07,209.869995,210.649994,208.630005,209.529999,191.588303,85593800
2016-07-08,211.050003,212.940002,210.779999,212.649994,194.441162,133971000
2016-07-11,213.190002,214.070007,212.949997,213.399994,195.126953,73633900
2016-07-12,214.529999,215.300003,213.429993,214.949997,196.544189,101275600
2016-07-13,215.440002,215.449997,214.350006,214.919998,196.516769,87324100
2016-07-14,216.399994,216.669998,215.660004,216.119995,197.614014,91230900
2016-07-15,216.779999,217.009995,215.309998,215.830002,197.348877,107155400
2016-07-18,215.970001,216.600006,215.669998,216.410004,197.879181,58725900
2016-07-19,215.919998,216.229996,215.630005,216.190002,197.678040,54345700
2016-07-20,216.190002,217.369995,216.190002,217.089996,198.500961,58159500
2016-07-21,216.960007,217.220001,215.750000,216.270004,197.751221,67777300
2016-07-22,216.410004,217.300003,216.100006,217.240005,198.638123,62787500
2016-07-25,217.000000,217.059998,215.970001,216.649994,198.098648,55873100
2016-07-26,216.529999,217.169998,215.759995,216.750000,198.190094,70080500
2016-07-27,217.190002,217.270004,215.619995,216.520004,197.979782,84083900
2016-07-28,216.289993,217.110001,215.750000,216.770004,198.208344,65035700
2016-07-29,216.460007,217.539993,216.130005,217.119995,198.528381,79519400
2016-08-01,217.190002,217.649994,216.410004,216.940002,198.363800,73311400
2016-08-02,216.649994,216.830002,214.570007,215.550003,197.092850,92295500
2016-08-03,215.479996,216.250000,215.130005,216.179993,197.668869,53993600
2016-08-04,216.309998,216.779999,214.250000,216.410004,197.879181,46585500
2016-08-05,216.410004,218.229996,216.410004,218.179993,199.497635,71892200
2016-08-08,218.399994,218.520004,217.740005,218.050003,199.378769,39906500
2016-08-09,218.130005,218.759995,217.800003,218.179993,199.497635,51251700
2016-08-10,218.309998,218.399994,217.229996,217.639999,199.003876,57941100
2016-08-11,218.259995,218.940002,217.949997,218.649994,199.927399,72504300
2016-08-12,218.289993,218.710007,217.990005,218.460007,199.753647,61313500
2016-08-15,218.889999,219.500000,218.880005,219.089996,200.329742,49813500
2016-08-16,218.600006,218.679993,217.960007,217.960007,199.296494,53213600
2016-08-17,218.000000,218.529999,217.020004,218.369995,199.671371,75134300
2016-08-18,218.339996,218.899994,218.210007,218.860001,200.119415,52989300
2016-08-19,218.309998,218.750000,217.740005,218.539993,199.826843,75443000
2016-08-22,218.259995,218.800003,217.830002,218.529999,199.817657,61368800
