time,open,high,low,close,Plot,EMA,EMA,EMA,Volume,Volume MA,RSI
2020-05-18T09:30:00-04:00,164.33,164.495,162.4102,162.69,136.12,158.32908871780575,146.57321557967018,157.1993677734368,14137907,12164675.35,57.56093536442955
2020-05-19T09:30:00-04:00,163.6,164.43,163.04,164.26,136.12,158.6330184779473,146.74920348435006,157.47625531173338,8531719,11967357.3,60.790193492175916
2020-05-20T09:30:00-04:00,164.54,164.9599,163.89,164.65,136.12,158.97217857614424,146.92732086261523,157.75757863284187,10666071,11853806.2,61.5724148847738
2020-05-21T09:30:00-04:00,163.46,163.58,161.37,162.25,136.12,159.12687673252205,147.07978533164393,157.93375201978924,11790992,11696930.65,54.38247474249199
2020-05-22T09:30:00-04:00,162.88,163.47,162.74,163.21,136.12,159.35998145945612,147.24028498008528,158.1406637052877,8540909,11563796.75,56.56722280329643
2020-05-26T09:30:00-04:00,162.58,162.58,160.69,160.89,136.12,159.44578910723314,147.37610303998494,158.24848081488426,13972012,11810720.7,50.29789617847732
2020-05-27T09:30:00-04:00,159.42,161.34,159.2,161.18,136.12,159.42993174547615,147.5134552485423,158.36344235155548,13063451,11944744.5,51.02852022713259
2020-05-28T09:30:00-04:00,162.12,162.4598,160.9,161.72,159.2,159.52477485867124,147.65481390278566,158.4950720632592,9761610,11821207.6,52.43077118975186
2020-05-29T09:30:00-04:00,162.58,163.4,162.32,162.91,159.2,159.7051119645634,147.80660679927536,158.66820649215097,12584009,11768733.9,55.45764019456636
2020-06-01T09:30:00-04:00,162.9235,163.74,162.39,163.66,159.2,159.87833054749478,147.96435200525272,158.8639631003019,8155048,11630769.6,57.301708480120226
2020-06-02T09:30:00-04:00,163.89,164.08,161.86,162.6,159.2,160.0061801895919,148.1099803435089,159.01047435127046,10388908,11750905.45,53.904971766939966
2020-06-03T09:30:00-04:00,160.34,160.9,158.82,159.6,159.2,159.92965243542469,148.22430889730484,159.03359300416182,17000510,12072777.65,45.656121787240814
2020-06-04T09:30:00-04:00,161.14,161.87,159.84,161.28,158.82,159.92386840733278,148.354216271461,159.12168739615547,10094024,11909880.9,50.24758838816529
