time,open,high,low,close,Plot,EMA,EMA,EMA,Volume,Volume MA,RSI
2020-05-18T09:30:00-04:00,4.4,4.63,4.36,4.58,3.96,4.490173715160237,5.378174567726871,4.63377057609557,2371694,3064202.9,47.918690296630096
2020-05-19T09:30:00-04:00,4.58,4.75,4.37,4.44,3.96,4.4824205722466735,5.368839497401231,4.626171729974175,1840732,2949137,46.22657620143075
2020-05-20T09:30:00-04:00,4.5,4.69,4.335,4.43,3.96,4.472909567585598,5.359497810859925,4.618478720955579,2543609,2942410.8,46.10135006112571
2020-05-21T09:30:00-04:00,4.45,4.65,4.4,4.44,3.96,4.468205724515559,5.3503485789110705,4.61147955542791,1971906,2927713.45,46.25813368352288
2020-05-22T09:30:00-04:00,4.46,4.49,4.13,4.18,3.96,4.4463860003532645,5.338703319419418,4.594558788548384,2379851,2934878.8,42.77425300225045
2020-05-26T09:30:00-04:00,4.34,4.61,4.33,4.42,3.96,4.438877226136925,5.3295619928580305,4.587713345860212,3545926,2748418.2,46.76022253058887
2020-05-27T09:30:00-04:00,4.57,4.71,4.355,4.69,3.96,4.4334657921926075,5.32319819193407,4.591724587199027,3146603,2645738.9,50.90337880738588
2020-05-28T09:30:00-04:00,4.75,4.76,4.3,4.33,3.96,4.4248550959221165,5.313315622860099,4.581460877897105,2184367,2586455,45.7870211820914
2020-05-29T09:30:00-04:00,4.33,4.42,4.05,4.06,3.96,4.400670896185206,5.3008448206425856,4.561011431705062,3973540,2676455.5,42.349037771573975
2020-06-01T09:30:00-04:00,4.12,4.355,4.02,4.13,3.96,4.376111483528096,5.2891946234222615,4.5441090226185885,2618424,2607096.8,43.532832359758
2020-06-02T09:30:00-04:00,4.27,4.308,4.06,4.18,4.02,4.355717194268219,5.27815786100015,4.529830237417859,2369780,2522180.55,44.410876330921084
2020-06-03T09:30:00-04:00,4.24,4.52,4.2,4.44,4.02,4.345670923670269,5.269817981786217,4.526307483009315,3037424,2568755.8,48.863719727745924
2020-06-04T09:30:00-04:00,4.44,4.72,4.37,4.47,4.02,4.347240541497994,5.261859593907747,4.524099346420715,3514299,2575988.75,49.36769345420568
2020-06-05T09:30:00-04:00,4.29,4.41,4.09,4.14,4.02,4.330644377530382,5.250696811878814,4.509036626953236,6274428,2764650.4,44.206583806013846
